Timestamp,Angle,Buzzer
1063,94,OFF
1184,85,OFF
1306,90,OFF
1427,90,OFF
1548,94,OFF
1670,94,OFF
1790,94,OFF
1911,94,OFF
2032,90,OFF
2154,94,OFF
2275,94,OFF
2396,90,OFF
2516,94,OFF
2638,90,OFF
2759,90,OFF
2880,94,OFF
3002,94,OFF
3123,90,OFF
3244,90,OFF
3364,90,OFF
3486,94,OFF
3607,90,OFF
3728,90,OFF
3849,90,OFF
3971,94,OFF
4091,90,OFF
4212,90,OFF
4333,90,OFF
4455,90,OFF
4576,94,OFF
4697,90,OFF
4817,94,OFF
4939,94,OFF
5060,103,OFF
5182,112,OFF
5304,126,OFF
5427,135,OFF
5549,148,OFF
5670,162,OFF
5792,166,OFF
5914,166,OFF
6037,171,ON
6158,175,ON
6279,180,ON
6401,171,ON
6521,175,ON
6642,175,ON
6764,171,ON
6885,171,ON
7006,180,ON
7128,175,ON
7248,171,ON
7369,180,ON
7490,184,ON
7612,171,ON
7733,166,OFF
7855,166,OFF
7977,148,OFF
8099,144,OFF
8221,116,OFF
8343,90,OFF
8464,63,OFF
8586,54,OFF
8707,45,OFF
8827,27,OFF
8949,13,OFF
9070,9,ON
9189,9,ON
9309,9,ON
9427,-4,ON
9548,9,ON
9667,0,ON
9786,-4,ON
9907,0,ON
10025,-13,ON
10146,9,ON
10266,0,ON
10385,-4,ON
10506,4,ON
10625,-9,ON
10745,4,ON
10864,4,ON
10984,-4,ON
11104,13,OFF
11225,0,ON
11344,-4,ON
11464,9,ON
11584,-4,ON
11704,0,ON
11823,9,ON
11942,-4,ON
12062,9,ON
12182,0,ON
12301,0,ON
12421,9,ON
12539,-4,ON
12660,9,ON
12779,0,ON
12899,-4,ON
13019,4,ON
13137,0,ON
13257,22,OFF
13378,40,OFF
13500,90,OFF
13621,94,OFF
13742,112,OFF
13863,130,OFF
13986,135,OFF
14108,135,OFF
14230,135,OFF
14352,135,OFF
14475,144,OFF
14597,148,OFF
14718,153,OFF
14840,166,OFF
14963,171,ON
15084,171,ON
15206,184,ON
15327,171,ON
15448,184,ON
15569,175,ON
15690,171,ON
15811,184,ON
15933,171,ON
16054,180,ON
16176,184,ON
16296,171,ON
16417,171,ON
16539,175,ON
16660,162,OFF
16782,130,OFF
